C02451V02968,REGION,C02447V03042,SchoolProgramme,TLIST(A1),Year,STATISTIC,Statistic Label,UNIT,VALUE,NumberOfClasses, NumberOfPupils
161,Limerick City,1,All first level school programmes,2012,2012,EDA57C02,Classes in National Schools (Number),Number,345,345,
161,Limerick City,1,All first level school programmes,2013,2013,EDA57C02,Classes in National Schools (Number),Number,344,344,
161,Limerick City,1,All first level school programmes,2014,2014,EDA57C02,Classes in National Schools (Number),Number,346,346,
161,Limerick City,1,All first level school programmes,2015,2015,EDA57C02,Classes in National Schools (Number),Number,350,350,
161,Limerick City,1,All first level school programmes,2016,2016,EDA57C02,Classes in National Schools (Number),Number,328,328,
161,Limerick City,1,All first level school programmes,2017,2017,EDA57C02,Classes in National Schools (Number),Number,345,345,
161,Limerick City,1,All first level school programmes,2018,2018,EDA57C02,Classes in National Schools (Number),Number,,,
161,Limerick City,1,All first level school programmes,2019,2019,EDA57C02,Classes in National Schools (Number),Number,,,
161,Limerick City,1,All first level school programmes,2020,2020,EDA57C02,Classes in National Schools (Number),Number,,,
161,Limerick City,1,All first level school programmes,2021,2021,EDA57C02,Classes in National Schools (Number),Number,,,
161,Limerick City,1,All first level school programmes,2022,2022,EDA57C02,Classes in National Schools (Number),Number,,,
161,Limerick City,11,All mainstream national school programmes,1995,1995,EDA57C02,Classes in National Schools (Number),Number,270,270,
161,Limerick City,11,All mainstream national school programmes,1996,1996,EDA57C02,Classes in National Schools (Number),Number,272,272,
161,Limerick City,11,All mainstream national school programmes,1997,1997,EDA57C02,Classes in National Schools (Number),Number,267,267,
161,Limerick City,11,All mainstream national school programmes,1998,1998,EDA57C02,Classes in National Schools (Number),Number,280,280,
161,Limerick City,11,All mainstream national school programmes,1999,1999,EDA57C02,Classes in National Schools (Number),Number,275,275,
161,Limerick City,11,All mainstream national school programmes,2000,2000,EDA57C02,Classes in National Schools (Number),Number,273,273,
161,Limerick City,11,All mainstream national school programmes,2001,2001,EDA57C02,Classes in National Schools (Number),Number,270,270,
161,Limerick City,11,All mainstream national school programmes,2002,2002,EDA57C02,Classes in National Schools (Number),Number,279,279,
161,Limerick City,11,All mainstream national school programmes,2003,2003,EDA57C02,Classes in National Schools (Number),Number,283,283,
161,Limerick City,11,All mainstream national school programmes,2004,2004,EDA57C02,Classes in National Schools (Number),Number,280,280,
161,Limerick City,11,All mainstream national school programmes,2005,2005,EDA57C02,Classes in National Schools (Number),Number,279,279,
161,Limerick City,11,All mainstream national school programmes,2006,2006,EDA57C02,Classes in National Schools (Number),Number,273,273,
161,Limerick City,11,All mainstream national school programmes,2007,2007,EDA57C02,Classes in National Schools (Number),Number,280,280,
161,Limerick City,11,All mainstream national school programmes,2008,2008,EDA57C02,Classes in National Schools (Number),Number,285,285,
161,Limerick City,11,All mainstream national school programmes,2009,2009,EDA57C02,Classes in National Schools (Number),Number,313,313,
161,Limerick City,11,All mainstream national school programmes,2010,2010,EDA57C02,Classes in National Schools (Number),Number,303,303,
161,Limerick City,11,All mainstream national school programmes,2011,2011,EDA57C02,Classes in National Schools (Number),Number,296,296,
161,Limerick City,11,All mainstream national school programmes,2012,2012,EDA57C02,Classes in National Schools (Number),Number,288,288,
161,Limerick City,11,All mainstream national school programmes,2013,2013,EDA57C02,Classes in National Schools (Number),Number,285,285,
161,Limerick City,11,All mainstream national school programmes,2014,2014,EDA57C02,Classes in National Schools (Number),Number,284,284,
161,Limerick City,11,All mainstream national school programmes,2015,2015,EDA57C02,Classes in National Schools (Number),Number,286,286,
161,Limerick City,11,All mainstream national school programmes,2016,2016,EDA57C02,Classes in National Schools (Number),Number,264,264,
161,Limerick City,11,All mainstream national school programmes,2017,2017,EDA57C02,Classes in National Schools (Number),Number,273,273,
161,Limerick City,11,All mainstream national school programmes,2018,2018,EDA57C02,Classes in National Schools (Number),Number,,,
161,Limerick City,11,All mainstream national school programmes,2019,2019,EDA57C02,Classes in National Schools (Number),Number,,,
161,Limerick City,11,All mainstream national school programmes,2020,2020,EDA57C02,Classes in National Schools (Number),Number,,,
161,Limerick City,11,All mainstream national school programmes,2021,2021,EDA57C02,Classes in National Schools (Number),Number,,,
161,Limerick City,11,All mainstream national school programmes,2022,2022,EDA57C02,Classes in National Schools (Number),Number,,,
161,Limerick City,121,Pupils with special needs in mainstream national schools,1995,1995,EDA57C02,Classes in National Schools (Number),Number,6,6,
161,Limerick City,121,Pupils with special needs in mainstream national schools,1996,1996,EDA57C02,Classes in National Schools (Number),Number,6,6,
161,Limerick City,121,Pupils with special needs in mainstream national schools,1997,1997,EDA57C02,Classes in National Schools (Number),Number,7,7,
161,Limerick City,121,Pupils with special needs in mainstream national schools,1998,1998,EDA57C02,Classes in National Schools (Number),Number,9,9,
161,Limerick City,121,Pupils with special needs in mainstream national schools,1999,1999,EDA57C02,Classes in National Schools (Number),Number,15,15,
161,Limerick City,121,Pupils with special needs in mainstream national schools,2000,2000,EDA57C02,Classes in National Schools (Number),Number,19,19,
161,Limerick City,121,Pupils with special needs in mainstream national schools,2001,2001,EDA57C02,Classes in National Schools (Number),Number,21,21,
161,Limerick City,121,Pupils with special needs in mainstream national schools,2002,2002,EDA57C02,Classes in National Schools (Number),Number,22,22,
161,Limerick City,121,Pupils with special needs in mainstream national schools,2003,2003,EDA57C02,Classes in National Schools (Number),Number,19,19,
161,Limerick City,121,Pupils with special needs in mainstream national schools,2004,2004,EDA57C02,Classes in National Schools (Number),Number,20,20,
161,Limerick City,121,Pupils with special needs in mainstream national schools,2005,2005,EDA57C02,Classes in National Schools (Number),Number,20,20,
161,Limerick City,121,Pupils with special needs in mainstream national schools,2006,2006,EDA57C02,Classes in National Schools (Number),Number,23,23,
161,Limerick City,121,Pupils with special needs in mainstream national schools,2007,2007,EDA57C02,Classes in National Schools (Number),Number,23,23,
161,Limerick City,121,Pupils with special needs in mainstream national schools,2008,2008,EDA57C02,Classes in National Schools (Number),Number,22,22,
161,Limerick City,121,Pupils with special needs in mainstream national schools,2009,2009,EDA57C02,Classes in National Schools (Number),Number,21,21,
161,Limerick City,121,Pupils with special needs in mainstream national schools,2010,2010,EDA57C02,Classes in National Schools (Number),Number,20,20,
161,Limerick City,121,Pupils with special needs in mainstream national schools,2011,2011,EDA57C02,Classes in National Schools (Number),Number,23,23,
161,Limerick City,121,Pupils with special needs in mainstream national schools,2012,2012,EDA57C02,Classes in National Schools (Number),Number,6,6,
161,Limerick City,121,Pupils with special needs in mainstream national schools,2013,2013,EDA57C02,Classes in National Schools (Number),Number,6,6,
161,Limerick City,121,Pupils with special needs in mainstream national schools,2014,2014,EDA57C02,Classes in National Schools (Number),Number,6,6,
161,Limerick City,121,Pupils with special needs in mainstream national schools,2015,2015,EDA57C02,Classes in National Schools (Number),Number,6,6,
161,Limerick City,121,Pupils with special needs in mainstream national schools,2016,2016,EDA57C02,Classes in National Schools (Number),Number,4,4,
161,Limerick City,121,Pupils with special needs in mainstream national schools,2017,2017,EDA57C02,Classes in National Schools (Number),Number,6,6,
161,Limerick City,121,Pupils with special needs in mainstream national schools,2018,2018,EDA57C02,Classes in National Schools (Number),Number,,,
161,Limerick City,121,Pupils with special needs in mainstream national schools,2019,2019,EDA57C02,Classes in National Schools (Number),Number,,,
161,Limerick City,121,Pupils with special needs in mainstream national schools,2020,2020,EDA57C02,Classes in National Schools (Number),Number,,,
161,Limerick City,121,Pupils with special needs in mainstream national schools,2021,2021,EDA57C02,Classes in National Schools (Number),Number,,,
161,Limerick City,121,Pupils with special needs in mainstream national schools,2022,2022,EDA57C02,Classes in National Schools (Number),Number,,,
161,Limerick City,122,Pupils in special national schools,1995,1995,EDA57C02,Classes in National Schools (Number),Number,21,21,
161,Limerick City,122,Pupils in special national schools,1996,1996,EDA57C02,Classes in National Schools (Number),Number,22,22,
161,Limerick City,122,Pupils in special national schools,1997,1997,EDA57C02,Classes in National Schools (Number),Number,24,24,
161,Limerick City,122,Pupils in special national schools,1998,1998,EDA57C02,Classes in National Schools (Number),Number,23,23,
161,Limerick City,122,Pupils in special national schools,1999,1999,EDA57C02,Classes in National Schools (Number),Number,24,24,
161,Limerick City,122,Pupils in special national schools,2000,2000,EDA57C02,Classes in National Schools (Number),Number,26,26,
161,Limerick City,122,Pupils in special national schools,2001,2001,EDA57C02,Classes in National Schools (Number),Number,28,28,
161,Limerick City,122,Pupils in special national schools,2002,2002,EDA57C02,Classes in National Schools (Number),Number,28,28,
161,Limerick City,122,Pupils in special national schools,2003,2003,EDA57C02,Classes in National Schools (Number),Number,31,31,
161,Limerick City,122,Pupils in special national schools,2004,2004,EDA57C02,Classes in National Schools (Number),Number,29,29,
161,Limerick City,122,Pupils in special national schools,2005,2005,EDA57C02,Classes in National Schools (Number),Number,32,32,
161,Limerick City,122,Pupils in special national schools,2006,2006,EDA57C02,Classes in National Schools (Number),Number,30,30,
161,Limerick City,122,Pupils in special national schools,2007,2007,EDA57C02,Classes in National Schools (Number),Number,29,29,
161,Limerick City,122,Pupils in special national schools,2008,2008,EDA57C02,Classes in National Schools (Number),Number,33,33,
161,Limerick City,122,Pupils in special national schools,2009,2009,EDA57C02,Classes in National Schools (Number),Number,39,39,
161,Limerick City,122,Pupils in special national schools,2010,2010,EDA57C02,Classes in National Schools (Number),Number,42,42,
161,Limerick City,122,Pupils in special national schools,2011,2011,EDA57C02,Classes in National Schools (Number),Number,43,43,
161,Limerick City,122,Pupils in special national schools,2012,2012,EDA57C02,Classes in National Schools (Number),Number,51,51,
161,Limerick City,122,Pupils in special national schools,2013,2013,EDA57C02,Classes in National Schools (Number),Number,53,53,
161,Limerick City,122,Pupils in special national schools,2014,2014,EDA57C02,Classes in National Schools (Number),Number,56,56,
161,Limerick City,122,Pupils in special national schools,2015,2015,EDA57C02,Classes in National Schools (Number),Number,58,58,
161,Limerick City,122,Pupils in special national schools,2016,2016,EDA57C02,Classes in National Schools (Number),Number,60,60,
161,Limerick City,122,Pupils in special national schools,2017,2017,EDA57C02,Classes in National Schools (Number),Number,66,66,
161,Limerick City,122,Pupils in special national schools,2018,2018,EDA57C02,Classes in National Schools (Number),Number,,,
161,Limerick City,122,Pupils in special national schools,2019,2019,EDA57C02,Classes in National Schools (Number),Number,,,
161,Limerick City,122,Pupils in special national schools,2020,2020,EDA57C02,Classes in National Schools (Number),Number,,,
161,Limerick City,122,Pupils in special national schools,2021,2021,EDA57C02,Classes in National Schools (Number),Number,,,
161,Limerick City,122,Pupils in special national schools,2022,2022,EDA57C02,Classes in National Schools (Number),Number,,,
162,Limerick County,1,All first level school programmes,1995,1995,EDA57C02,Classes in National Schools (Number),Number,588,588,
162,Limerick County,1,All first level school programmes,1996,1996,EDA57C02,Classes in National Schools (Number),Number,587,587,
162,Limerick County,1,All first level school programmes,1997,1997,EDA57C02,Classes in National Schools (Number),Number,582,582,
162,Limerick County,1,All first level school programmes,1998,1998,EDA57C02,Classes in National Schools (Number),Number,579,579,
162,Limerick County,1,All first level school programmes,1999,1999,EDA57C02,Classes in National Schools (Number),Number,578,578,
162,Limerick County,1,All first level school programmes,2000,2000,EDA57C02,Classes in National Schools (Number),Number,582,582,
162,Limerick County,1,All first level school programmes,2001,2001,EDA57C02,Classes in National Schools (Number),Number,587,587,
162,Limerick County,1,All first level school programmes,2002,2002,EDA57C02,Classes in National Schools (Number),Number,599,599,
162,Limerick County,1,All first level school programmes,2003,2003,EDA57C02,Classes in National Schools (Number),Number,609,609,
162,Limerick County,1,All first level school programmes,2004,2004,EDA57C02,Classes in National Schools (Number),Number,607,607,
162,Limerick County,1,All first level school programmes,2005,2005,EDA57C02,Classes in National Schools (Number),Number,605,605,
162,Limerick County,1,All first level school programmes,2006,2006,EDA57C02,Classes in National Schools (Number),Number,605,605,
162,Limerick County,1,All first level school programmes,2007,2007,EDA57C02,Classes in National Schools (Number),Number,611,611,
162,Limerick County,1,All first level school programmes,2008,2008,EDA57C02,Classes in National Schools (Number),Number,629,629,
162,Limerick County,1,All first level school programmes,2009,2009,EDA57C02,Classes in National Schools (Number),Number,607,607,
162,Limerick County,1,All first level school programmes,2010,2010,EDA57C02,Classes in National Schools (Number),Number,596,596,
162,Limerick County,1,All first level school programmes,2011,2011,EDA57C02,Classes in National Schools (Number),Number,608,608,
162,Limerick County,1,All first level school programmes,2012,2012,EDA57C02,Classes in National Schools (Number),Number,586,586,
162,Limerick County,1,All first level school programmes,2013,2013,EDA57C02,Classes in National Schools (Number),Number,595,595,
162,Limerick County,1,All first level school programmes,2014,2014,EDA57C02,Classes in National Schools (Number),Number,604,604,
162,Limerick County,1,All first level school programmes,2015,2015,EDA57C02,Classes in National Schools (Number),Number,617,617,
162,Limerick County,1,All first level school programmes,2016,2016,EDA57C02,Classes in National Schools (Number),Number,650,650,
162,Limerick County,1,All first level school programmes,2017,2017,EDA57C02,Classes in National Schools (Number),Number,668,668,
162,Limerick County,1,All first level school programmes,2018,2018,EDA57C02,Classes in National Schools (Number),Number,,,
162,Limerick County,1,All first level school programmes,2019,2019,EDA57C02,Classes in National Schools (Number),Number,,,
162,Limerick County,1,All first level school programmes,2020,2020,EDA57C02,Classes in National Schools (Number),Number,,,
162,Limerick County,1,All first level school programmes,2021,2021,EDA57C02,Classes in National Schools (Number),Number,,,
162,Limerick County,1,All first level school programmes,2022,2022,EDA57C02,Classes in National Schools (Number),Number,,,
162,Limerick County,11,All mainstream national school programmes,1995,1995,EDA57C02,Classes in National Schools (Number),Number,565,565,
162,Limerick County,11,All mainstream national school programmes,1996,1996,EDA57C02,Classes in National Schools (Number),Number,558,558,
162,Limerick County,11,All mainstream national school programmes,1997,1997,EDA57C02,Classes in National Schools (Number),Number,553,553,
162,Limerick County,11,All mainstream national school programmes,1998,1998,EDA57C02,Classes in National Schools (Number),Number,545,545,
162,Limerick County,11,All mainstream national school programmes,1999,1999,EDA57C02,Classes in National Schools (Number),Number,538,538,
162,Limerick County,11,All mainstream national school programmes,2000,2000,EDA57C02,Classes in National Schools (Number),Number,546,546,
162,Limerick County,11,All mainstream national school programmes,2001,2001,EDA57C02,Classes in National Schools (Number),Number,546,546,
162,Limerick County,11,All mainstream national school programmes,2002,2002,EDA57C02,Classes in National Schools (Number),Number,549,549,
162,Limerick County,11,All mainstream national school programmes,2003,2003,EDA57C02,Classes in National Schools (Number),Number,559,559,
162,Limerick County,11,All mainstream national school programmes,2004,2004,EDA57C02,Classes in National Schools (Number),Number,563,563,
162,Limerick County,11,All mainstream national school programmes,2005,2005,EDA57C02,Classes in National Schools (Number),Number,560,560,
162,Limerick County,11,All mainstream national school programmes,2006,2006,EDA57C02,Classes in National Schools (Number),Number,562,562,
162,Limerick County,11,All mainstream national school programmes,2007,2007,EDA57C02,Classes in National Schools (Number),Number,564,564,
162,Limerick County,11,All mainstream national school programmes,2008,2008,EDA57C02,Classes in National Schools (Number),Number,582,582,
162,Limerick County,11,All mainstream national school programmes,2009,2009,EDA57C02,Classes in National Schools (Number),Number,570,570,
162,Limerick County,11,All mainstream national school programmes,2010,2010,EDA57C02,Classes in National Schools (Number),Number,562,562,
162,Limerick County,11,All mainstream national school programmes,2011,2011,EDA57C02,Classes in National Schools (Number),Number,570,570,
162,Limerick County,11,All mainstream national school programmes,2012,2012,EDA57C02,Classes in National Schools (Number),Number,571,571,
162,Limerick County,11,All mainstream national school programmes,2013,2013,EDA57C02,Classes in National Schools (Number),Number,580,580,
162,Limerick County,11,All mainstream national school programmes,2014,2014,EDA57C02,Classes in National Schools (Number),Number,588,588,
162,Limerick County,11,All mainstream national school programmes,2015,2015,EDA57C02,Classes in National Schools (Number),Number,597,597,
162,Limerick County,11,All mainstream national school programmes,2016,2016,EDA57C02,Classes in National Schools (Number),Number,626,626,
162,Limerick County,11,All mainstream national school programmes,2017,2017,EDA57C02,Classes in National Schools (Number),Number,641,641,
162,Limerick County,11,All mainstream national school programmes,2018,2018,EDA57C02,Classes in National Schools (Number),Number,,,
162,Limerick County,11,All mainstream national school programmes,2019,2019,EDA57C02,Classes in National Schools (Number),Number,,,
162,Limerick County,11,All mainstream national school programmes,2020,2020,EDA57C02,Classes in National Schools (Number),Number,,,
162,Limerick County,11,All mainstream national school programmes,2021,2021,EDA57C02,Classes in National Schools (Number),Number,,,
162,Limerick County,11,All mainstream national school programmes,2022,2022,EDA57C02,Classes in National Schools (Number),Number,,,
162,Limerick County,121,Pupils with special needs in mainstream national schools,1995,1995,EDA57C02,Classes in National Schools (Number),Number,9,9,
162,Limerick County,121,Pupils with special needs in mainstream national schools,1996,1996,EDA57C02,Classes in National Schools (Number),Number,11,11,
162,Limerick County,121,Pupils with special needs in mainstream national schools,1997,1997,EDA57C02,Classes in National Schools (Number),Number,12,12,
162,Limerick County,121,Pupils with special needs in mainstream national schools,1998,1998,EDA57C02,Classes in National Schools (Number),Number,16,16,
162,Limerick County,121,Pupils with special needs in mainstream national schools,1999,1999,EDA57C02,Classes in National Schools (Number),Number,17,17,
162,Limerick County,121,Pupils with special needs in mainstream national schools,2000,2000,EDA57C02,Classes in National Schools (Number),Number,14,14,
162,Limerick County,121,Pupils with special needs in mainstream national schools,2001,2001,EDA57C02,Classes in National Schools (Number),Number,19,19,
162,Limerick County,121,Pupils with special needs in mainstream national schools,2002,2002,EDA57C02,Classes in National Schools (Number),Number,28,28,
162,Limerick County,121,Pupils with special needs in mainstream national schools,2003,2003,EDA57C02,Classes in National Schools (Number),Number,28,28,
162,Limerick County,121,Pupils with special needs in mainstream national schools,2004,2004,EDA57C02,Classes in National Schools (Number),Number,23,23,
162,Limerick County,121,Pupils with special needs in mainstream national schools,2005,2005,EDA57C02,Classes in National Schools (Number),Number,24,24,
162,Limerick County,121,Pupils with special needs in mainstream national schools,2006,2006,EDA57C02,Classes in National Schools (Number),Number,22,22,
162,Limerick County,121,Pupils with special needs in mainstream national schools,2007,2007,EDA57C02,Classes in National Schools (Number),Number,26,26,
162,Limerick County,121,Pupils with special needs in mainstream national schools,2008,2008,EDA57C02,Classes in National Schools (Number),Number,26,26,
162,Limerick County,121,Pupils with special needs in mainstream national schools,2009,2009,EDA57C02,Classes in National Schools (Number),Number,23,23,
162,Limerick County,121,Pupils with special needs in mainstream national schools,2010,2010,EDA57C02,Classes in National Schools (Number),Number,20,20,
162,Limerick County,121,Pupils with special needs in mainstream national schools,2011,2011,EDA57C02,Classes in National Schools (Number),Number,25,25,
162,Limerick County,121,Pupils with special needs in mainstream national schools,2012,2012,EDA57C02,Classes in National Schools (Number),Number,2,2,
162,Limerick County,121,Pupils with special needs in mainstream national schools,2013,2013,EDA57C02,Classes in National Schools (Number),Number,2,2,
162,Limerick County,121,Pupils with special needs in mainstream national schools,2014,2014,EDA57C02,Classes in National Schools (Number),Number,3,3,
162,Limerick County,121,Pupils with special needs in mainstream national schools,2015,2015,EDA57C02,Classes in National Schools (Number),Number,5,5,
162,Limerick County,121,Pupils with special needs in mainstream national schools,2016,2016,EDA57C02,Classes in National Schools (Number),Number,8,8,
162,Limerick County,121,Pupils with special needs in mainstream national schools,2017,2017,EDA57C02,Classes in National Schools (Number),Number,9,9,
162,Limerick County,121,Pupils with special needs in mainstream national schools,2018,2018,EDA57C02,Classes in National Schools (Number),Number,,,
162,Limerick County,121,Pupils with special needs in mainstream national schools,2019,2019,EDA57C02,Classes in National Schools (Number),Number,,,
162,Limerick County,121,Pupils with special needs in mainstream national schools,2020,2020,EDA57C02,Classes in National Schools (Number),Number,,,
162,Limerick County,121,Pupils with special needs in mainstream national schools,2021,2021,EDA57C02,Classes in National Schools (Number),Number,,,
162,Limerick County,121,Pupils with special needs in mainstream national schools,2022,2022,EDA57C02,Classes in National Schools (Number),Number,,,
162,Limerick County,122,Pupils in special national schools,1995,1995,EDA57C02,Classes in National Schools (Number),Number,14,14,
162,Limerick County,122,Pupils in special national schools,1996,1996,EDA57C02,Classes in National Schools (Number),Number,18,18,
162,Limerick County,122,Pupils in special national schools,1997,1997,EDA57C02,Classes in National Schools (Number),Number,17,17,
162,Limerick County,122,Pupils in special national schools,1998,1998,EDA57C02,Classes in National Schools (Number),Number,18,18,
162,Limerick County,122,Pupils in special national schools,1999,1999,EDA57C02,Classes in National Schools (Number),Number,23,23,
162,Limerick County,122,Pupils in special national schools,2000,2000,EDA57C02,Classes in National Schools (Number),Number,22,22,
162,Limerick County,122,Pupils in special national schools,2001,2001,EDA57C02,Classes in National Schools (Number),Number,22,22,
162,Limerick County,122,Pupils in special national schools,2002,2002,EDA57C02,Classes in National Schools (Number),Number,22,22,
162,Limerick County,122,Pupils in special national schools,2003,2003,EDA57C02,Classes in National Schools (Number),Number,22,22,
162,Limerick County,122,Pupils in special national schools,2004,2004,EDA57C02,Classes in National Schools (Number),Number,21,21,
162,Limerick County,122,Pupils in special national schools,2005,2005,EDA57C02,Classes in National Schools (Number),Number,21,21,
162,Limerick County,122,Pupils in special national schools,2006,2006,EDA57C02,Classes in National Schools (Number),Number,21,21,
162,Limerick County,122,Pupils in special national schools,2007,2007,EDA57C02,Classes in National Schools (Number),Number,21,21,
162,Limerick County,122,Pupils in special national schools,2008,2008,EDA57C02,Classes in National Schools (Number),Number,21,21,
162,Limerick County,122,Pupils in special national schools,2009,2009,EDA57C02,Classes in National Schools (Number),Number,14,14,
162,Limerick County,122,Pupils in special national schools,2010,2010,EDA57C02,Classes in National Schools (Number),Number,14,14,
162,Limerick County,122,Pupils in special national schools,2011,2011,EDA57C02,Classes in National Schools (Number),Number,13,13,
162,Limerick County,122,Pupils in special national schools,2012,2012,EDA57C02,Classes in National Schools (Number),Number,13,13,
162,Limerick County,122,Pupils in special national schools,2013,2013,EDA57C02,Classes in National Schools (Number),Number,13,13,
162,Limerick County,122,Pupils in special national schools,2014,2014,EDA57C02,Classes in National Schools (Number),Number,13,13,
162,Limerick County,122,Pupils in special national schools,2015,2015,EDA57C02,Classes in National Schools (Number),Number,15,15,
162,Limerick County,122,Pupils in special national schools,2016,2016,EDA57C02,Classes in National Schools (Number),Number,16,16,
162,Limerick County,122,Pupils in special national schools,2017,2017,EDA57C02,Classes in National Schools (Number),Number,18,18,
162,Limerick County,122,Pupils in special national schools,2018,2018,EDA57C02,Classes in National Schools (Number),Number,,,
162,Limerick County,122,Pupils in special national schools,2019,2019,EDA57C02,Classes in National Schools (Number),Number,,,
162,Limerick County,122,Pupils in special national schools,2020,2020,EDA57C02,Classes in National Schools (Number),Number,,,
162,Limerick County,122,Pupils in special national schools,2021,2021,EDA57C02,Classes in National Schools (Number),Number,,,
162,Limerick County,122,Pupils in special national schools,2022,2022,EDA57C02,Classes in National Schools (Number),Number,,,
17,Tipperary,1,All first level school programmes,1995,1995,EDA57C02,Classes in National Schools (Number),Number,761,761,
17,Tipperary,1,All first level school programmes,1996,1996,EDA57C02,Classes in National Schools (Number),Number,756,756,
17,Tipperary,1,All first level school programmes,1997,1997,EDA57C02,Classes in National Schools (Number),Number,756,756,
17,Tipperary,1,All first level school programmes,1998,1998,EDA57C02,Classes in National Schools (Number),Number,743,743,
17,Tipperary,1,All first level school programmes,1999,1999,EDA57C02,Classes in National Schools (Number),Number,748,748,
17,Tipperary,1,All first level school programmes,2000,2000,EDA57C02,Classes in National Schools (Number),Number,748,748,
17,Tipperary,1,All first level school programmes,2001,2001,EDA57C02,Classes in National Schools (Number),Number,741,741,
17,Tipperary,1,All first level school programmes,2002,2002,EDA57C02,Classes in National Schools (Number),Number,762,762,
17,Tipperary,1,All first level school programmes,2003,2003,EDA57C02,Classes in National Schools (Number),Number,772,772,
17,Tipperary,1,All first level school programmes,2004,2004,EDA57C02,Classes in National Schools (Number),Number,777,777,
17,Tipperary,1,All first level school programmes,2005,2005,EDA57C02,Classes in National Schools (Number),Number,784,784,
17,Tipperary,1,All first level school programmes,2006,2006,EDA57C02,Classes in National Schools (Number),Number,783,783,
17,Tipperary,1,All first level school programmes,2007,2007,EDA57C02,Classes in National Schools (Number),Number,797,797,
17,Tipperary,1,All first level school programmes,2008,2008,EDA57C02,Classes in National Schools (Number),Number,832,832,
17,Tipperary,1,All first level school programmes,2009,2009,EDA57C02,Classes in National Schools (Number),Number,854,854,
17,Tipperary,1,All first level school programmes,2010,2010,EDA57C02,Classes in National Schools (Number),Number,843,843,
17,Tipperary,1,All first level school programmes,2011,2011,EDA57C02,Classes in National Schools (Number),Number,865,865,
17,Tipperary,1,All first level school programmes,2012,2012,EDA57C02,Classes in National Schools (Number),Number,815,815,
17,Tipperary,1,All first level school programmes,2013,2013,EDA57C02,Classes in National Schools (Number),Number,832,832,
17,Tipperary,1,All first level school programmes,2014,2014,EDA57C02,Classes in National Schools (Number),Number,832,832,
17,Tipperary,1,All first level school programmes,2015,2015,EDA57C02,Classes in National Schools (Number),Number,835,835,
17,Tipperary,1,All first level school programmes,2016,2016,EDA57C02,Classes in National Schools (Number),Number,838,838,
17,Tipperary,1,All first level school programmes,2017,2017,EDA57C02,Classes in National Schools (Number),Number,863,863,
17,Tipperary,1,All first level school programmes,2018,2018,EDA57C02,Classes in National Schools (Number),Number,869,869,
17,Tipperary,1,All first level school programmes,2019,2019,EDA57C02,Classes in National Schools (Number),Number,877,877,
17,Tipperary,1,All first level school programmes,2020,2020,EDA57C02,Classes in National Schools (Number),Number,889,889,
17,Tipperary,1,All first level school programmes,2021,2021,EDA57C02,Classes in National Schools (Number),Number,931,931,
17,Tipperary,1,All first level school programmes,2022,2022,EDA57C02,Classes in National Schools (Number),Number,942,942,
17,Tipperary,11,All mainstream national school programmes,1995,1995,EDA57C02,Classes in National Schools (Number),Number,719,719,
17,Tipperary,11,All mainstream national school programmes,1996,1996,EDA57C02,Classes in National Schools (Number),Number,709,709,
17,Tipperary,11,All mainstream national school programmes,1997,1997,EDA57C02,Classes in National Schools (Number),Number,695,695,
17,Tipperary,11,All mainstream national school programmes,1998,1998,EDA57C02,Classes in National Schools (Number),Number,678,678,
17,Tipperary,11,All mainstream national school programmes,1999,1999,EDA57C02,Classes in National Schools (Number),Number,682,682,
17,Tipperary,11,All mainstream national school programmes,2000,2000,EDA57C02,Classes in National Schools (Number),Number,684,684,
17,Tipperary,11,All mainstream national school programmes,2001,2001,EDA57C02,Classes in National Schools (Number),Number,680,680,
17,Tipperary,11,All mainstream national school programmes,2002,2002,EDA57C02,Classes in National Schools (Number),Number,697,697,
17,Tipperary,11,All mainstream national school programmes,2003,2003,EDA57C02,Classes in National Schools (Number),Number,706,706,
17,Tipperary,11,All mainstream national school programmes,2004,2004,EDA57C02,Classes in National Schools (Number),Number,710,710,
17,Tipperary,11,All mainstream national school programmes,2005,2005,EDA57C02,Classes in National Schools (Number),Number,713,713,
17,Tipperary,11,All mainstream national school programmes,2006,2006,EDA57C02,Classes in National Schools (Number),Number,714,714,
17,Tipperary,11,All mainstream national school programmes,2007,2007,EDA57C02,Classes in National Schools (Number),Number,723,723,
17,Tipperary,11,All mainstream national school programmes,2008,2008,EDA57C02,Classes in National Schools (Number),Number,749,749,
17,Tipperary,11,All mainstream national school programmes,2009,2009,EDA57C02,Classes in National Schools (Number),Number,763,763,
17,Tipperary,11,All mainstream national school programmes,2010,2010,EDA57C02,Classes in National Schools (Number),Number,757,757,
17,Tipperary,11,All mainstream national school programmes,2011,2011,EDA57C02,Classes in National Schools (Number),Number,769,769,
17,Tipperary,11,All mainstream national school programmes,2012,2012,EDA57C02,Classes in National Schools (Number),Number,764,764,
17,Tipperary,11,All mainstream national school programmes,2013,2013,EDA57C02,Classes in National Schools (Number),Number,772,772,
17,Tipperary,11,All mainstream national school programmes,2014,2014,EDA57C02,Classes in National Schools (Number),Number,767,767,
17,Tipperary,11,All mainstream national school programmes,2015,2015,EDA57C02,Classes in National Schools (Number),Number,761,761,
17,Tipperary,11,All mainstream national school programmes,2016,2016,EDA57C02,Classes in National Schools (Number),Number,760,760,
